year,state_fips,state_abbr,state_name,population_total,population_adult_18_plus,population_male,population_female,education_bachelors_or_higher_25_plus,race_white_alone,race_black_alone,race_asian_alone,ethnicity_hispanic_or_latino,ethnicity_not_hispanic_or_latino,population_density_per_sq_mile
1984,22,LA,Louisiana,4211529.2,,,,,,,,,,97.4803015468511
1984,23,ME,Maine,1165967.2,,,,,,,,,,37.80339864059564
1984,24,MD,Maryland,4442772.2,,,,,,,,,,457.6879341587866
1984,25,MA,Massachusetts,5848792.2,,,,,,,,,,749.8393858508781
1984,26,MI,Michigan,9275365.6,,,,,,,,,,164.05281319587044
1984,27,MN,Minnesota,4195621.6,,,,,,,,,,52.69111356310706
1984,28,MS,Mississippi,2541669.2,,,,,,,,,,54.166497773919005
1984,29,MO,Missouri,4996840.8,,,,,,,,,,72.69028674373216
1984,30,MT,Montana,791640.0,,,,,,,,,,5.439112636709544
1984,31,NE,Nebraska,1573249.0,,,,,,,,,,20.47856813812632
1984,32,NV,Nevada,961029.0,,,,,,,,,,8.754041448634457
1984,33,NH,New Hampshire,996066.8,,,,,,,,,,111.25943714989417
1984,34,NJ,New Jersey,7510969.0,,,,,,,,,,1021.3141570418072
1984,35,NM,New Mexico,1387764.0,,,,,,,,,,11.44093294085689
1984,36,NY,New York,17731025.2,,,,,,,,,,376.24399911726755
1984,37,NC,North Carolina,6180514.4,,,,,,,,,,127.12423055618804
1984,38,ND,North Dakota,647150.2,,,,,,,,,,9.378879665163302
1984,39,OH,Ohio,10817424.0,,,,,,,,,,264.7391417031871
1984,40,OK,Oklahoma,3073408.0,,,,,,,,,,44.80518382410826
1984,41,OR,Oregon,2716791.4,,,,,,,,,,28.30344539906599
1984,42,PA,Pennsylvania,11870994.2,,,,,,,,,,265.3168941525657
1984,44,RI,Rhode Island,969678.0,,,,,,,,,,937.9653901587333
1984,45,SC,South Carolina,3267773.2,,,,,,,,,,108.70582521365105
1984,46,SD,South Dakota,692862.4,,,,,,,,,,9.1393386184063
1984,47,TN,Tennessee,4705546.0,,,,,,,,,,114.11561565567031
1984,48,TX,Texas,15332118.6,,,,,,,,,,58.69164428774746
1984,49,UT,Utah,1565762.2,,,,,,,,,,19.055244505207643
1984,50,VT,Vermont,531976.8,,,,,,,,,,57.71904355807853
1984,51,VA,Virginia,5683034.0,,,,,,,,,,143.91038359244055
1984,53,WA,Washington,4425970.4,,,,,,,,,,66.60049308168833
1984,54,WV,West Virginia,1887177.2,,,,,,,,,,78.50739302136057
1984,55,WI,Wisconsin,4780167.8,,,,,,,,,,88.2636997810103
1984,56,WY,Wyoming,463169.4,,,,,,,,,,4.770361737193792
1988,01,AL,Alabama,4011247.2,,,,,,,,,,79.20270635022025
1988,02,AK,Alaska,520404.6,,,,,,,,,,0.9119650456210687
1988,04,AZ,Arizona,3475825.4,,,,,,,,,,30.59864915495596
1988,05,AR,Arkansas,2337867.0,,,,,,,,,,44.928325826916556
1988,06,CA,California,28541597.2,,,,,,,,,,183.21825722326764
1988,08,CO,Colorado,3213508.0,,,,,,,,,,31.005879958383623
1988,09,CT,Connecticut,3251208.0,,,,,,,,,,671.4098084405125
1988,10,DE,Delaware,651802.0,,,,,,,,,,334.50788795713714
1988,11,DC,District of Columbia,613186.6,,,,,,,,,,10044.006552006553
1988,12,FL,Florida,12299605.6,,,,,,,,,,229.36430111761803
1988,13,GA,Georgia,6275193.8,,,,,,,,,,109.10820748314873
1988,15,HI,Hawaii,1079521.4,,,,,,,,,,168.08089520959481
1988,16,ID,Idaho,994186.2,,,,,,,,,,12.02987254111413
1988,17,IL,Illinois,11429785.2,,,,,,,,,,205.871856680235
1988,18,IN,Indiana,5533372.0,,,,,,,,,,154.45081813236212
1988,19,IA,Iowa,2804165.6,,,,,,,,,,50.2024647524855
1988,20,KS,Kansas,2454795.0,,,,,,,,,,30.024870741616308
1988,21,KY,Kentucky,3680392.2,,,,,,,,,,93.20671908310571
1988,22,LA,Louisiana,4217158.4,,,,,,,,,,97.61059533977257
1988,23,ME,Maine,1207274.4,,,,,,,,,,39.142675207146404
1988,24,MD,Maryland,4668569.4,,,,,,,,,,480.9492334905053
1988,25,MA,Massachusetts,5960547.4,,,,,,,,,,764.1668653830868
1988,26,MI,Michigan,9288653.2,,,,,,,,,,164.2878301488002
1988,27,MN,Minnesota,4315273.2,,,,,,,,,,54.19376958041984
1988,28,MS,Mississippi,2562700.4,,,,,,,,,,54.61470183130886
1988,29,MO,Missouri,5076995.6,,,,,,,,,,73.8563185684576
1988,30,MT,Montana,796590.0,,,,,,,,,,5.473122549740357
1988,31,NE,Nebraska,1576673.0,,,,,,,,,,20.523137444895273
1988,32,NV,Nevada,1121565.0,,,,,,,,,,10.216368597969161
