year,state_fips,state_abbr,state_name,metric,value
1976,19,IA,Iowa,ethnicity_not_hispanic_or_latino,
1976,19,IA,Iowa,population_density_per_sq_mile,51.52493871418027
1976,20,KS,Kansas,population_total,2316838.6
1976,20,KS,Kansas,population_adult_18_plus,
1976,20,KS,Kansas,population_male,
1976,20,KS,Kansas,population_female,
1976,20,KS,Kansas,education_bachelors_or_higher_25_plus,
1976,20,KS,Kansas,race_white_alone,
1976,20,KS,Kansas,race_black_alone,
1976,20,KS,Kansas,race_asian_alone,
1976,20,KS,Kansas,ethnicity_hispanic_or_latino,
1976,20,KS,Kansas,ethnicity_not_hispanic_or_latino,
1976,20,KS,Kansas,population_density_per_sq_mile,28.33751066552901
1976,21,KY,Kentucky,population_total,3483948.6
1976,21,KY,Kentucky,population_adult_18_plus,
1976,21,KY,Kentucky,population_male,
1976,21,KY,Kentucky,population_female,
1976,21,KY,Kentucky,education_bachelors_or_higher_25_plus,
1976,21,KY,Kentucky,race_white_alone,
1976,21,KY,Kentucky,race_black_alone,
1976,21,KY,Kentucky,race_asian_alone,
1976,21,KY,Kentucky,ethnicity_hispanic_or_latino,
1976,21,KY,Kentucky,ethnicity_not_hispanic_or_latino,
1976,21,KY,Kentucky,population_density_per_sq_mile,88.23174292679444
1976,22,LA,Louisiana,population_total,3980062.4
1976,22,LA,Louisiana,population_adult_18_plus,
1976,22,LA,Louisiana,population_male,
1976,22,LA,Louisiana,population_female,
1976,22,LA,Louisiana,education_bachelors_or_higher_25_plus,
1976,22,LA,Louisiana,race_white_alone,
1976,22,LA,Louisiana,race_black_alone,
1976,22,LA,Louisiana,race_asian_alone,
1976,22,LA,Louisiana,ethnicity_hispanic_or_latino,
1976,22,LA,Louisiana,ethnicity_not_hispanic_or_latino,
1976,22,LA,Louisiana,population_density_per_sq_mile,92.12275743624997
1976,23,ME,Maine,population_total,1071615.2
1976,23,ME,Maine,population_adult_18_plus,
1976,23,ME,Maine,population_male,
1976,23,ME,Maine,population_female,
1976,23,ME,Maine,education_bachelors_or_higher_25_plus,
1976,23,ME,Maine,race_white_alone,
1976,23,ME,Maine,race_black_alone,
1976,23,ME,Maine,race_asian_alone,
1976,23,ME,Maine,ethnicity_hispanic_or_latino,
1976,23,ME,Maine,ethnicity_not_hispanic_or_latino,
1976,23,ME,Maine,population_density_per_sq_mile,34.744284912064096
1976,24,MD,Maryland,population_total,4099144.6
1976,24,MD,Maryland,population_adult_18_plus,
1976,24,MD,Maryland,population_male,
1976,24,MD,Maryland,population_female,
1976,24,MD,Maryland,education_bachelors_or_higher_25_plus,
1976,24,MD,Maryland,race_white_alone,
1976,24,MD,Maryland,race_black_alone,
1976,24,MD,Maryland,race_asian_alone,
1976,24,MD,Maryland,ethnicity_hispanic_or_latino,
1976,24,MD,Maryland,ethnicity_not_hispanic_or_latino,
1976,24,MD,Maryland,population_density_per_sq_mile,422.2879182939305
1976,25,MA,Massachusetts,population_total,5717890.2
1976,25,MA,Massachusetts,population_adult_18_plus,
1976,25,MA,Massachusetts,population_male,
1976,25,MA,Massachusetts,population_female,
1976,25,MA,Massachusetts,education_bachelors_or_higher_25_plus,
1976,25,MA,Massachusetts,race_white_alone,
1976,25,MA,Massachusetts,race_black_alone,
1976,25,MA,Massachusetts,race_asian_alone,
1976,25,MA,Massachusetts,ethnicity_hispanic_or_latino,
1976,25,MA,Massachusetts,ethnicity_not_hispanic_or_latino,
1976,25,MA,Massachusetts,population_density_per_sq_mile,733.0572072522519
1976,26,MI,Michigan,population_total,9107280.0
1976,26,MI,Michigan,population_adult_18_plus,
1976,26,MI,Michigan,population_male,
1976,26,MI,Michigan,population_female,
1976,26,MI,Michigan,education_bachelors_or_higher_25_plus,
1976,26,MI,Michigan,race_white_alone,
1976,26,MI,Michigan,race_black_alone,
1976,26,MI,Michigan,race_asian_alone,
1976,26,MI,Michigan,ethnicity_hispanic_or_latino,
1976,26,MI,Michigan,ethnicity_not_hispanic_or_latino,
1976,26,MI,Michigan,population_density_per_sq_mile,161.07989366613074
1976,27,MN,Minnesota,population_total,3967570.4
1976,27,MN,Minnesota,population_adult_18_plus,
1976,27,MN,Minnesota,population_male,
1976,27,MN,Minnesota,population_female,
1976,27,MN,Minnesota,education_bachelors_or_higher_25_plus,
1976,27,MN,Minnesota,race_white_alone,
1976,27,MN,Minnesota,race_black_alone,
1976,27,MN,Minnesota,race_asian_alone,
1976,27,MN,Minnesota,ethnicity_hispanic_or_latino,
1976,27,MN,Minnesota,ethnicity_not_hispanic_or_latino,
1976,27,MN,Minnesota,population_density_per_sq_mile,49.827110842412985
1976,28,MS,Mississippi,population_total,2399147.6
1976,28,MS,Mississippi,population_adult_18_plus,
1976,28,MS,Mississippi,population_male,
1976,28,MS,Mississippi,population_female,
1976,28,MS,Mississippi,education_bachelors_or_higher_25_plus,
1976,28,MS,Mississippi,race_white_alone,
1976,28,MS,Mississippi,race_black_alone,
1976,28,MS,Mississippi,race_asian_alone,
1976,28,MS,Mississippi,ethnicity_hispanic_or_latino,
1976,28,MS,Mississippi,ethnicity_not_hispanic_or_latino,
1976,28,MS,Mississippi,population_density_per_sq_mile,51.12916469802723
1976,29,MO,Missouri,population_total,4820612.0
1976,29,MO,Missouri,population_adult_18_plus,
1976,29,MO,Missouri,population_male,
1976,29,MO,Missouri,population_female,
1976,29,MO,Missouri,education_bachelors_or_higher_25_plus,
1976,29,MO,Missouri,race_white_alone,
1976,29,MO,Missouri,race_black_alone,
1976,29,MO,Missouri,race_asian_alone,
1976,29,MO,Missouri,ethnicity_hispanic_or_latino,
1976,29,MO,Missouri,ethnicity_not_hispanic_or_latino,
1976,29,MO,Missouri,population_density_per_sq_mile,70.12664252987132
1976,30,MT,Montana,population_total,749777.6
1976,30,MT,Montana,population_adult_18_plus,
1976,30,MT,Montana,population_male,
1976,30,MT,Montana,population_female,
1976,30,MT,Montana,education_bachelors_or_higher_25_plus,
1976,30,MT,Montana,race_white_alone,
1976,30,MT,Montana,race_black_alone,
1976,30,MT,Montana,race_asian_alone,
1976,30,MT,Montana,ethnicity_hispanic_or_latino,
1976,30,MT,Montana,ethnicity_not_hispanic_or_latino,
1976,30,MT,Montana,population_density_per_sq_mile,5.15148908453559
1976,31,NE,Nebraska,population_total,1535292.2
1976,31,NE,Nebraska,population_adult_18_plus,
1976,31,NE,Nebraska,population_male,
1976,31,NE,Nebraska,population_female,
1976,31,NE,Nebraska,education_bachelors_or_higher_25_plus,
1976,31,NE,Nebraska,race_white_alone,
1976,31,NE,Nebraska,race_black_alone,
1976,31,NE,Nebraska,race_asian_alone,
1976,31,NE,Nebraska,ethnicity_hispanic_or_latino,
1976,31,NE,Nebraska,ethnicity_not_hispanic_or_latino,
1976,31,NE,Nebraska,population_density_per_sq_mile,19.984494463135754
1976,32,NV,Nevada,population_total,675791.0
1976,32,NV,Nevada,population_adult_18_plus,
1976,32,NV,Nevada,population_male,
1976,32,NV,Nevada,population_female,
1976,32,NV,Nevada,education_bachelors_or_higher_25_plus,
1976,32,NV,Nevada,race_white_alone,
1976,32,NV,Nevada,race_black_alone,
1976,32,NV,Nevada,race_asian_alone,
1976,32,NV,Nevada,ethnicity_hispanic_or_latino,
1976,32,NV,Nevada,ethnicity_not_hispanic_or_latino,
1976,32,NV,Nevada,population_density_per_sq_mile,6.155800110729362
1976,33,NH,New Hampshire,population_total,847438.4
1976,33,NH,New Hampshire,population_adult_18_plus,
1976,33,NH,New Hampshire,population_male,
1976,33,NH,New Hampshire,population_female,
1976,33,NH,New Hampshire,education_bachelors_or_higher_25_plus,
1976,33,NH,New Hampshire,race_white_alone,
1976,33,NH,New Hampshire,race_black_alone,
1976,33,NH,New Hampshire,race_asian_alone,
1976,33,NH,New Hampshire,ethnicity_hispanic_or_latino,
1976,33,NH,New Hampshire,ethnicity_not_hispanic_or_latino,
1976,33,NH,New Hampshire,population_density_per_sq_mile,94.6578275706076
1976,34,NJ,New Jersey,population_total,7286159.4
1976,34,NJ,New Jersey,population_adult_18_plus,
1976,34,NJ,New Jersey,population_male,
1976,34,NJ,New Jersey,population_female,
1976,34,NJ,New Jersey,education_bachelors_or_higher_25_plus,
1976,34,NJ,New Jersey,race_white_alone,
1976,34,NJ,New Jersey,race_black_alone,
1976,34,NJ,New Jersey,race_asian_alone,
1976,34,NJ,New Jersey,ethnicity_hispanic_or_latino,
1976,34,NJ,New Jersey,ethnicity_not_hispanic_or_latino,
1976,34,NJ,New Jersey,population_density_per_sq_mile,990.7453679656035
1976,35,NM,New Mexico,population_total,1188136.4
1976,35,NM,New Mexico,population_adult_18_plus,
1976,35,NM,New Mexico,population_male,
1976,35,NM,New Mexico,population_female,
1976,35,NM,New Mexico,education_bachelors_or_higher_25_plus,
1976,35,NM,New Mexico,race_white_alone,
1976,35,NM,New Mexico,race_black_alone,
1976,35,NM,New Mexico,race_asian_alone,
1976,35,NM,New Mexico,ethnicity_hispanic_or_latino,
1976,35,NM,New Mexico,ethnicity_not_hispanic_or_latino,
1976,35,NM,New Mexico,population_density_per_sq_mile,9.795173298191274
1976,36,NY,New York,population_total,17829630.0
1976,36,NY,New York,population_adult_18_plus,
1976,36,NY,New York,population_male,
1976,36,NY,New York,population_female,
1976,36,NY,New York,education_bachelors_or_higher_25_plus,
1976,36,NY,New York,race_white_alone,
1976,36,NY,New York,race_black_alone,
1976,36,NY,New York,race_asian_alone,
1976,36,NY,New York,ethnicity_hispanic_or_latino,
1976,36,NY,New York,ethnicity_not_hispanic_or_latino,
1976,36,NY,New York,population_density_per_sq_mile,378.33634650641676
1976,37,NC,North Carolina,population_total,5561883.2
1976,37,NC,North Carolina,population_adult_18_plus,
1976,37,NC,North Carolina,population_male,
1976,37,NC,North Carolina,population_female,
1976,37,NC,North Carolina,education_bachelors_or_higher_25_plus,
1976,37,NC,North Carolina,race_white_alone,
1976,37,NC,North Carolina,race_black_alone,
1976,37,NC,North Carolina,race_asian_alone,
1976,37,NC,North Carolina,ethnicity_hispanic_or_latino,
1976,37,NC,North Carolina,ethnicity_not_hispanic_or_latino,
1976,37,NC,North Carolina,population_density_per_sq_mile,114.39988267698055
1976,38,ND,North Dakota,population_total,638734.6
1976,38,ND,North Dakota,population_adult_18_plus,
1976,38,ND,North Dakota,population_male,
1976,38,ND,North Dakota,population_female,
1976,38,ND,North Dakota,education_bachelors_or_higher_25_plus,
1976,38,ND,North Dakota,race_white_alone,
1976,38,ND,North Dakota,race_black_alone,
1976,38,ND,North Dakota,race_asian_alone,
1976,38,ND,North Dakota,ethnicity_hispanic_or_latino,
1976,38,ND,North Dakota,ethnicity_not_hispanic_or_latino,
1976,38,ND,North Dakota,population_density_per_sq_mile,9.25691586184508
1976,39,OH,Ohio,population_total,10739384.8
1976,39,OH,Ohio,population_adult_18_plus,
1976,39,OH,Ohio,population_male,
1976,39,OH,Ohio,population_female,
1976,39,OH,Ohio,education_bachelors_or_higher_25_plus,
1976,39,OH,Ohio,race_white_alone,
1976,39,OH,Ohio,race_black_alone,
1976,39,OH,Ohio,race_asian_alone,
1976,39,OH,Ohio,ethnicity_hispanic_or_latino,
1976,39,OH,Ohio,ethnicity_not_hispanic_or_latino,
1976,39,OH,Ohio,population_density_per_sq_mile,262.82925716623976
1976,40,OK,Oklahoma,population_total,2838865.6
1976,40,OK,Oklahoma,population_adult_18_plus,
1976,40,OK,Oklahoma,population_male,
1976,40,OK,Oklahoma,population_female,
1976,40,OK,Oklahoma,education_bachelors_or_higher_25_plus,
1976,40,OK,Oklahoma,race_white_alone,
1976,40,OK,Oklahoma,race_black_alone,
1976,40,OK,Oklahoma,race_asian_alone,
1976,40,OK,Oklahoma,ethnicity_hispanic_or_latino,
1976,40,OK,Oklahoma,ethnicity_not_hispanic_or_latino,
1976,40,OK,Oklahoma,population_density_per_sq_mile,41.38594519827416
1976,41,OR,Oregon,population_total,2416417.0
1976,41,OR,Oregon,population_adult_18_plus,
1976,41,OR,Oregon,population_male,
1976,41,OR,Oregon,population_female,
1976,41,OR,Oregon,education_bachelors_or_higher_25_plus,
1976,41,OR,Oregon,race_white_alone,
1976,41,OR,Oregon,race_black_alone,
1976,41,OR,Oregon,race_asian_alone,
1976,41,OR,Oregon,ethnicity_hispanic_or_latino,
1976,41,OR,Oregon,ethnicity_not_hispanic_or_latino,
1976,41,OR,Oregon,population_density_per_sq_mile,25.174154563679362
1976,42,PA,Pennsylvania,population_total,11835900.6
1976,42,PA,Pennsylvania,population_adult_18_plus,
1976,42,PA,Pennsylvania,population_male,
1976,42,PA,Pennsylvania,population_female,
1976,42,PA,Pennsylvania,education_bachelors_or_higher_25_plus,
1976,42,PA,Pennsylvania,race_white_alone,
1976,42,PA,Pennsylvania,race_black_alone,
1976,42,PA,Pennsylvania,race_asian_alone,
1976,42,PA,Pennsylvania,ethnicity_hispanic_or_latino,
1976,42,PA,Pennsylvania,ethnicity_not_hispanic_or_latino,
1976,42,PA,Pennsylvania,population_density_per_sq_mile,264.53255167882133
1976,44,RI,Rhode Island,population_total,946982.4
1976,44,RI,Rhode Island,population_adult_18_plus,
1976,44,RI,Rhode Island,population_male,
1976,44,RI,Rhode Island,population_female,
1976,44,RI,Rhode Island,education_bachelors_or_higher_25_plus,
1976,44,RI,Rhode Island,race_white_alone,
1976,44,RI,Rhode Island,race_black_alone,
1976,44,RI,Rhode Island,race_asian_alone,
1976,44,RI,Rhode Island,ethnicity_hispanic_or_latino,
1976,44,RI,Rhode Island,ethnicity_not_hispanic_or_latino,
1976,44,RI,Rhode Island,population_density_per_sq_mile,916.0120331588978
1976,45,SC,South Carolina,population_total,2909298.4
1976,45,SC,South Carolina,population_adult_18_plus,
1976,45,SC,South Carolina,population_male,
1976,45,SC,South Carolina,population_female,
1976,45,SC,South Carolina,education_bachelors_or_higher_25_plus,
1976,45,SC,South Carolina,race_white_alone,
1976,45,SC,South Carolina,race_black_alone,
1976,45,SC,South Carolina,race_asian_alone,
1976,45,SC,South Carolina,ethnicity_hispanic_or_latino,
1976,45,SC,South Carolina,ethnicity_not_hispanic_or_latino,
1976,45,SC,South Carolina,population_density_per_sq_mile,96.78079352776216
1976,46,SD,South Dakota,population_total,680663.6
1976,46,SD,South Dakota,population_adult_18_plus,
1976,46,SD,South Dakota,population_male,
1976,46,SD,South Dakota,population_female,
1976,46,SD,South Dakota,education_bachelors_or_higher_25_plus,
1976,46,SD,South Dakota,race_white_alone,
1976,46,SD,South Dakota,race_black_alone,
1976,46,SD,South Dakota,race_asian_alone,
1976,46,SD,South Dakota,ethnicity_hispanic_or_latino,
1976,46,SD,South Dakota,ethnicity_not_hispanic_or_latino,
1976,46,SD,South Dakota,population_density_per_sq_mile,8.978427932621914
1976,47,TN,Tennessee,population_total,4324146.8
1976,47,TN,Tennessee,population_adult_18_plus,
1976,47,TN,Tennessee,population_male,
1976,47,TN,Tennessee,population_female,
1976,47,TN,Tennessee,education_bachelors_or_higher_25_plus,
1976,47,TN,Tennessee,race_white_alone,
1976,47,TN,Tennessee,race_black_alone,
1976,47,TN,Tennessee,race_asian_alone,
1976,47,TN,Tennessee,ethnicity_hispanic_or_latino,
1976,47,TN,Tennessee,ethnicity_not_hispanic_or_latino,
1976,47,TN,Tennessee,population_density_per_sq_mile,104.8661885926727
1976,48,TX,Texas,population_total,13016206.6
1976,48,TX,Texas,population_adult_18_plus,
1976,48,TX,Texas,population_male,
1976,48,TX,Texas,population_female,
1976,48,TX,Texas,education_bachelors_or_higher_25_plus,
1976,48,TX,Texas,race_white_alone,
1976,48,TX,Texas,race_black_alone,
1976,48,TX,Texas,race_asian_alone,
1976,48,TX,Texas,ethnicity_hispanic_or_latino,
1976,48,TX,Texas,ethnicity_not_hispanic_or_latino,
1976,48,TX,Texas,population_density_per_sq_mile,49.826288699790695
1976,49,UT,Utah,population_total,1300331.4
1976,49,UT,Utah,population_adult_18_plus,
1976,49,UT,Utah,population_male,
1976,49,UT,Utah,population_female,
1976,49,UT,Utah,education_bachelors_or_higher_25_plus,
1976,49,UT,Utah,race_white_alone,
1976,49,UT,Utah,race_black_alone,
1976,49,UT,Utah,race_asian_alone,
1976,49,UT,Utah,ethnicity_hispanic_or_latino,
1976,49,UT,Utah,ethnicity_not_hispanic_or_latino,
1976,49,UT,Utah,population_density_per_sq_mile,15.824965479942588
1976,50,VT,Vermont,population_total,484605.6
1976,50,VT,Vermont,population_adult_18_plus,
1976,50,VT,Vermont,population_male,
1976,50,VT,Vermont,population_female,
1976,50,VT,Vermont,education_bachelors_or_higher_25_plus,
1976,50,VT,Vermont,race_white_alone,
1976,50,VT,Vermont,race_black_alone,
1976,50,VT,Vermont,race_asian_alone,
1976,50,VT,Vermont,ethnicity_hispanic_or_latino,
1976,50,VT,Vermont,ethnicity_not_hispanic_or_latino,
1976,50,VT,Vermont,population_density_per_sq_mile,52.57930747147014
1976,51,VA,Virginia,population_total,5067488.4
1976,51,VA,Virginia,population_adult_18_plus,
1976,51,VA,Virginia,population_male,
1976,51,VA,Virginia,population_female,
1976,51,VA,Virginia,education_bachelors_or_higher_25_plus,
1976,51,VA,Virginia,race_white_alone,
1976,51,VA,Virginia,race_black_alone,
1976,51,VA,Virginia,race_asian_alone,
1976,51,VA,Virginia,ethnicity_hispanic_or_latino,
1976,51,VA,Virginia,ethnicity_not_hispanic_or_latino,
1976,51,VA,Virginia,population_density_per_sq_mile,128.3230400335882
1976,53,WA,Washington,population_total,3842961.2
1976,53,WA,Washington,population_adult_18_plus,
1976,53,WA,Washington,population_male,
1976,53,WA,Washington,population_female,
1976,53,WA,Washington,education_bachelors_or_higher_25_plus,
1976,53,WA,Washington,race_white_alone,
1976,53,WA,Washington,race_black_alone,
1976,53,WA,Washington,race_asian_alone,
1976,53,WA,Washington,ethnicity_hispanic_or_latino,
1976,53,WA,Washington,ethnicity_not_hispanic_or_latino,
1976,53,WA,Washington,population_density_per_sq_mile,57.82756947805088
1976,54,WV,West Virginia,population_total,1867481.2
1976,54,WV,West Virginia,population_adult_18_plus,
1976,54,WV,West Virginia,population_male,
1976,54,WV,West Virginia,population_female,
1976,54,WV,West Virginia,education_bachelors_or_higher_25_plus,
1976,54,WV,West Virginia,race_white_alone,
1976,54,WV,West Virginia,race_black_alone,
1976,54,WV,West Virginia,race_asian_alone,
1976,54,WV,West Virginia,ethnicity_hispanic_or_latino,
1976,54,WV,West Virginia,ethnicity_not_hispanic_or_latino,
1976,54,WV,West Virginia,population_density_per_sq_mile,77.68803084755478
1976,55,WI,Wisconsin,population_total,4590552.6
1976,55,WI,Wisconsin,population_adult_18_plus,
1976,55,WI,Wisconsin,population_male,
1976,55,WI,Wisconsin,population_female,
1976,55,WI,Wisconsin,education_bachelors_or_higher_25_plus,
1976,55,WI,Wisconsin,race_white_alone,
1976,55,WI,Wisconsin,race_black_alone,
1976,55,WI,Wisconsin,race_asian_alone,
1976,55,WI,Wisconsin,ethnicity_hispanic_or_latino,
1976,55,WI,Wisconsin,ethnicity_not_hispanic_or_latino,
1976,55,WI,Wisconsin,population_density_per_sq_mile,84.7625383601254
1976,56,WY,Wyoming,population_total,414700.6
1976,56,WY,Wyoming,population_adult_18_plus,
