year,state_fips,state_abbr,state_name,office,candidate,party_detailed,party_simplified,writein,candidatevotes,totalvotes,vote_pct,version,notes,electoral_votes,electoral_votes_won_state,electoral_votes_won_election
1976,49,UT,Utah,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,OTHER,False,13304,541218,2.46,20210113,,4,0,0
1976,49,UT,Utah,US PRESIDENT,"CAMEJO, PETER",INDEPENDENT,OTHER,False,268,541218,0.05,20210113,,4,0,0
1976,49,UT,Utah,US PRESIDENT,"HALL, GUS",INDEPENDENT,OTHER,False,121,541218,0.02,20210113,,4,0,0
1976,49,UT,Utah,US PRESIDENT,"MACBRIDE, ROGER",LIBERAL PARTY,OTHER,False,2438,541218,0.45,20210113,,4,0,0
1976,49,UT,Utah,US PRESIDENT,"MADDOX, LESTER",CONCERNED CITIZENS,OTHER,False,1162,541218,0.21,20210113,,4,0,0
1976,49,UT,Utah,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,3907,541218,0.72,20210113,,4,0,0
1976,49,UT,Utah,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,337908,541218,62.43,20210113,,4,4,241
1976,50,VT,Vermont,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,77798,183902,42.3,20210113,,3,0,297
1976,50,VT,Vermont,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,430,183902,0.23,20210113,,3,0,0
1976,50,VT,Vermont,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,OTHER,False,196,183902,0.11,20210113,,3,0,0
1976,50,VT,Vermont,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,4001,183902,2.18,20210113,,3,0,0
1976,50,VT,Vermont,US PRESIDENT,OTHER,OTHER,OTHER,False,1090,183902,0.59,20210113,,3,0,0
1976,50,VT,Vermont,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,100387,183902,54.59,20210113,,3,3,241
1976,51,VA,Virginia,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,813896,1697094,47.96,20210113,,12,0,297
1976,51,VA,Virginia,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,4648,1697094,0.27,20210113,,12,0,0
1976,51,VA,Virginia,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,OTHER,False,16686,1697094,0.98,20210113,,12,0,0
1976,51,VA,Virginia,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,17802,1697094,1.05,20210113,,12,0,0
1976,51,VA,Virginia,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,OTHER,False,7508,1697094,0.44,20210113,,12,0,0
1976,51,VA,Virginia,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,836554,1697094,49.29,20210113,,12,12,241
1976,53,WA,Washington,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,717323,1555534,46.11,20210113,,9,0,297
1976,53,WA,Washington,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,5042,1555534,0.32,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"ANDERSON, THOMAS J.",CONSTITUTION PARTY,OTHER,False,1046,1555534,0.07,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,905,1555534,0.06,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,OTHER,False,817,1555534,0.05,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,OTHER,False,713,1555534,0.05,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,OTHER,False,903,1555534,0.06,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,OTHER,False,8585,1555534,0.55,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,36986,1555534,2.38,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,OTHER,OTHER,OTHER,False,5482,1555534,0.35,20210113,,9,0,0
1976,53,WA,Washington,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,777732,1555534,50.0,20210113,,9,9,241
